instance,model,obj,time,status,lp_relaxation,mip_gap,bb_nodes,n_nodes,n_edges,n_terminals
i080_214.py,directed cut,10618.0,30.77,9,2668.0,0.7487285741194198,562.0,80,350,16
i080_215.py,undirected cut,,30.25,9,2787.0,,587.0,80,350,16
i080_215.py,undirected flow,3874.0,30.61,9,2976.0,0.23180175529168817,474.0,80,350,16
i080_215.py,directed cut,10583.0,30.09,9,2951.0,0.7211565718605311,485.0,80,350,16
i080_221.py,undirected cut,,30.84,9,2275.0,,159.0,80,3160,16
i080_221.py,undirected flow,4277.0,34.2,9,2347.0,0.4512508767827917,1.0,80,3160,16
i080_221.py,directed cut,90466.0,30.52,9,2325.0,0.9742997369177371,159.0,80,3160,16
i080_222.py,undirected cut,,31.23,9,2244.0,,182.0,80,3160,16
i080_222.py,undirected flow,4342.0,35.54,9,2334.0,0.46245969599263015,1.0,80,3160,16
i080_222.py,directed cut,137248.0,30.39,9,2309.0,0.9831764397295407,167.0,80,3160,16
i080_223.py,undirected cut,,31.08,9,2259.0,,179.0,80,3160,16
i080_223.py,undirected flow,4370.0,34.15,9,2354.0,0.4613272311212815,1.0,80,3160,16
i080_223.py,directed cut,97292.0,30.67,9,2335.0,0.976000082226699,151.0,80,3160,16
i080_224.py,undirected cut,,31.35,9,2255.0,,183.0,80,3160,16
i080_224.py,undirected flow,4290.0,33.33,9,2347.0,0.4529137529137529,1.0,80,3160,16
i080_224.py,directed cut,96991.0,31.6,9,2329.0,0.9759874627542762,159.0,80,3160,16
i080_225.py,undirected cut,,31.27,9,2260.0,,167.0,80,3160,16
i080_225.py,undirected flow,4342.0,33.94,9,2336.0,0.46199907876554586,1.0,80,3160,16
i080_225.py,directed cut,136227.0,31.1,9,2285.0000000000005,0.9832265263126987,156.0,80,3160,16
i080_231.py,undirected cut,,30.63,9,3461.0,,829.0,80,160,16
i080_231.py,undirected flow,4354.0,30.54,9,3924.0,0.09875976113918236,2206.0,80,160,16
i080_231.py,directed cut,8236.0,30.61,9,3676.0,0.5536668285575522,738.0,80,160,16
i080_232.py,undirected cut,,30.51,9,3482.0,,783.0,80,160,16
i080_232.py,undirected flow,4285.0,30.31,9,3884.0,0.09358226371061844,2070.0,80,160,16
i080_232.py,directed cut,8322.0,30.49,9,3509.0,0.5783465513097813,814.0,80,160,16
i080_233.py,undirected cut,,30.41,9,3230.0,,804.0,80,160,16
i080_233.py,undirected flow,4118.0,30.37,9,3710.0,0.09907722195240408,2251.0,80,160,16
i080_233.py,directed cut,7184.0,30.28,9,3346.0,0.5342427616926503,781.0,80,160,16
i080_234.py,undirected cut,,30.1,9,3257.0000000000005,,776.0,80,160,16
i080_234.py,undirected flow,4274.0,30.58,9,3751.0,0.12236780533458119,2016.0,80,160,16
i080_234.py,directed cut,9385.0,30.49,9,3336.0,0.64453915823122,786.0,80,160,16
i080_235.py,undirected cut,,30.49,9,3593.0,,603.0,80,160,16
i080_235.py,undirected flow,4548.0,30.4,9,3805.0,0.16336851363236587,1766.0,80,160,16
